Time: 10/03/2026 10:39:59 | Type: INFO | Robot: Initializer | Message: Ejecución iniciada, variables globales exitosamente cargadas desde el archivo de configuración.
Time: 10/03/2026 10:39:59 | Type: INFO | Robot: CheckGmaoAPIStatus | Message: Validando el status de la API de Gmao.
Time: 10/03/2026 10:40:13 | Type: INFO | Robot: ExecutionFinalizer | Message: Todas las conexiones han sido cerradas correctamente.
Time: 10/03/2026 10:40:13 | Type: INFO | Robot: ExecutionFinalizer | Message: Ejecución Finalizada.
Time: 10/03/2026 10:41:59 | Type: INFO | Robot: Initializer | Message: Ejecución iniciada, variables globales exitosamente cargadas desde el archivo de configuración.
Time: 10/03/2026 10:41:59 | Type: INFO | Robot: CheckGmaoAPIStatus | Message: Validando el status de la API de Gmao.
Time: 10/03/2026 10:41:59 | Type: INFO | Robot: Initializer | Message: Validaciones iniciales pasadas exitosamente.
Time: 10/03/2026 10:42:05 | Type: INFO | Robot: ExecutionNotificationSender | Message: Se ha cerrado la conexión a Gmail correctamente.
Time: 10/03/2026 10:42:27 | Type: INFO | Robot: Initializer | Message: Ejecución iniciada, variables globales exitosamente cargadas desde el archivo de configuración.
Time: 10/03/2026 10:42:27 | Type: INFO | Robot: CheckGmailStatus | Message: Validando el status de conexión a Gmail.
Time: 10/03/2026 10:42:30 | Type: INFO | Robot: CheckDirectoryStatus | Message: Validando el status de los directorios.
Time: 10/03/2026 10:42:30 | Type: INFO | Robot: CheckGmaoAPIStatus | Message: Validando el status de la API de Gmao.
Time: 10/03/2026 10:42:30 | Type: INFO | Robot: Initializer | Message: Validaciones iniciales pasadas exitosamente.
Time: 10/03/2026 10:42:36 | Type: INFO | Robot: ExecutionNotificationSender | Message: Se ha cerrado la conexión a Gmail correctamente.
Time: 13/03/2026 14:22:56 | Type: INFO | Robot: Initializer | Message: Ejecución iniciada, variables globales exitosamente cargadas desde el archivo de configuración.
Time: 13/03/2026 14:22:56 | Type: INFO | Robot: CheckGmailStatus | Message: Validando el status de conexión a Gmail.
Time: 13/03/2026 14:22:59 | Type: INFO | Robot: CheckDirectoryStatus | Message: Validando el status de los directorios.
Time: 13/03/2026 14:22:59 | Type: INFO | Robot: CheckGmaoAPIStatus | Message: Validando el status de la API de Gmao.
Time: 13/03/2026 14:22:59 | Type: INFO | Robot: Initializer | Message: Validaciones iniciales pasadas exitosamente.
Time: 13/03/2026 14:23:05 | Type: INFO | Robot: ExecutionNotificationSender | Message: Se ha cerrado la conexión a Gmail correctamente.
Time: 13/03/2026 14:24:05 | Type: INFO | Robot: Initializer | Message: Ejecución iniciada, variables globales exitosamente cargadas desde el archivo de configuración.
Time: 13/03/2026 14:24:05 | Type: INFO | Robot: CheckGmailStatus | Message: Validando el status de conexión a Gmail.
Time: 13/03/2026 14:24:08 | Type: INFO | Robot: CheckDirectoryStatus | Message: Validando el status de los directorios.
